ID,Title,Author,Author_gender,Category,Year_published,Genres,Has_male_author,Has_female_author,Only_male_author,Only_female_author
181,Being Nixon,Evan Thomas,M,Nonfiction,2015,biography; history; politics; non-fiction; politics,TRUE,FALSE,TRUE,FALSE
182,Beloved ,Toni Morrison,F,Fiction,1987,fiction; classics; historical; magical-realism; literature,FALSE,TRUE,FALSE,TRUE
183,Below The Belt,Stuart Woods,M,Fiction,2017,mystery; fiction,TRUE,FALSE,TRUE,FALSE
184,Between The World And Me,Ta-Nehisi Coates,M,Nonfiction,2015,non-fiction; autobiography; race; history; audiobook,TRUE,FALSE,TRUE,FALSE
185,Beyond Belief,Jenna Miscavige Hill with Lisa Pulitzer,FF,Nonfiction,2013,non-fiction; autobiography; religion; biography,FALSE,TRUE,FALSE,TRUE
186,Big Agenda,David Horowitz,M,Nonfiction,2016,politics; non-fiction; politics,TRUE,FALSE,TRUE,FALSE
187,Big Data,Viktor Mayer-Schonberger and Kenneth Cukier,MM,Nonfiction,2013,,TRUE,FALSE,TRUE,FALSE
188,Big Little Lies,Liane Moriarty,F,Fiction,2014,fiction; mystery; contemporary; womens-fiction; audiobook,FALSE,TRUE,FALSE,TRUE
189,Big Russ And Me,Tim Russert,M,Nonfiction,2004,non-fiction; biography; autobiography; biography,TRUE,FALSE,TRUE,FALSE
190,Bill O'Reilly'S Legends And Lies,David Fisher,M,Nonfiction,2015,history; non-fiction; westerns; biography; historical,TRUE,FALSE,TRUE,FALSE
191,Billy Bathgate ,E. L. Doctorow,M,Fiction,1989,fiction; historical; mystery; literature; literary-fiction,TRUE,FALSE,TRUE,FALSE
192,Bitter Fruit,Achmat Dangor,M,Fiction,2001,fiction; cultural; southern-africa; historical,TRUE,FALSE,TRUE,FALSE
193,Black Belt Patriotism,Chuck Norris,M,Nonfiction,2008,politics; non-fiction,TRUE,FALSE,TRUE,FALSE
194,Black Dogs,Ian McEwan,M,Fiction,1992,fiction; contemporary; european-literature; literature,TRUE,FALSE,TRUE,FALSE
195,Black Flags: The Rise Of Isis ,Joby Warrick,M,Nonfiction,2015,non-fiction; history; politics; war; religion,TRUE,FALSE,TRUE,FALSE
196,Black Privilege,Charlamagne Tha God,M,Nonfiction,2017,non-fiction; biography; audiobook; self-help; autobiography,TRUE,FALSE,TRUE,FALSE
