BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
hair,down,30,0.000149245,88,0.000656134,-4.396358458,118
hair,fair,79,0.000393011,84,0.000626309,-1.593616702,163
hair,fine,42,0.000208943,47,0.000350435,-1.677182204,89
hair,forward,34,0.000169144,40,0.000298243,-1.763245371,74
hair,full,20,9.95E-05,23,0.000171489,-1.72357235,43
hair,gently,22,0.000109446,33,0.00024605,-2.248137848,55
hair,glossy,15,7.46E-05,32,0.000238594,-3.197351606,47
hair,golden,38,0.000189043,110,0.000820167,-4.338511636,148
hair,good,26,0.000129346,29,0.000216226,-1.671692246,55
hair,gray,241,0.001198933,159,0.001185514,1.011319172,400
hair,greasy,36,0.000179094,14,0.000104385,1.715705672,50
hair,grey,63,0.000313414,43,0.000320611,-1.022962195,106
hair,heavy,11,5.47E-05,29,0.000216226,-3.951272581,40
hair,high,6,2.98E-05,33,0.00024605,-8.243172108,39
hair,light,40,0.000198993,58,0.000432452,-2.173199919,98
hair,little,24,0.000119396,28,0.00020877,-1.748551659,52
hair,long,514,0.002557061,738,0.005502576,-2.151914049,1252
hair,loose,18,8.95E-05,171,0.001274987,-14.23820637,189
hair,mat,31,0.00015422,24,0.000178946,-1.160329212,55
hair,neatly,63,0.000313414,36,0.000268418,1.167633027,99
hair,over,15,7.46E-05,30,0.000223682,-2.99751713,45
hair,own,63,0.000313414,118,0.000879816,-2.807198582,181
hair,pale,33,0.000164169,51,0.000380259,-2.316263237,84
hair,pubic,21,0.000104471,57,0.000424996,-4.068058963,78
hair,quite,21,0.000104471,20,0.000149121,-1.42738911,41
hair,red,143,0.0007114,271,0.002020594,-2.840304693,414
hair,reddish,30,0.000149245,31,0.000231138,-1.548717184,61
hair,sandy,40,0.000198993,15,0.000111841,1.779250327,55
hair,shine,5,2.49E-05,33,0.00024605,-9.89180653,38
hair,shiny,23,0.000114421,40,0.000298243,-2.606536635,63
hair,short,179,0.000890494,281,0.002095154,-2.352799759,460
hair,silky,13,6.47E-05,29,0.000216226,-3.343384491,42
hair,silver,44,0.000218892,21,0.000156577,1.3979824,65
hair,slightly,25,0.000124371,15,0.000111841,1.112031454,40
hair,smooth,31,0.00015422,30,0.000223682,-1.450411515,61
hair,soft,33,0.000164169,57,0.000424996,-2.588764794,90
hair,still,135,0.000671602,168,0.001252619,-1.86512177,303
hair,straight,93,0.000462659,150,0.00111841,-2.417352524,243
hair,tangle,26,0.000129346,34,0.000253506,-1.959915047,60
hair,thick,254,0.001263606,122,0.00090964,1.389127817,376
hair,thin,207,0.001029789,72,0.000536837,1.918254258,279
hair,tight,7,3.48E-05,34,0.000253506,-7.279684459,41
hair,tousle,25,0.000124371,19,0.000141665,-1.13905651,44
hair,unkempt,30,0.000149245,13,9.69E-05,1.53973586,43
hair,up,17,8.46E-05,56,0.00041754,-4.937087038,73
hair,very,56,0.00027859,60,0.000447364,-1.605812748,116
hair,wavy,60,0.00029849,29,0.000216226,1.38045284,89
hair,wet,100,0.000497483,125,0.000932008,-1.873448206,225
hair,white,386,0.001920283,217,0.001617966,1.18685016,603
hair,wild,45,0.000223867,48,0.000357891,-1.598675803,93
hair,yellow,52,0.000258691,70,0.000521925,-2.017559607,122
hand,back,441,0.002193899,369,0.002751288,-1.254063289,810
hand,bare,187,0.000930293,89,0.00066359,1.401909316,276
hand,big,358,0.001780988,50,0.000372803,4.777287127,408
hand,black,44,0.000218892,24,0.000178946,1.2232346,68
hand,bloody,59,0.000293515,31,0.000231138,1.269868177,90
hand,brown,49,0.000243767,34,0.000253506,-1.039954923,83
hand,clasp,61,0.000303464,52,0.000387715,-1.277630252,113
hand,close,69,0.000343263,36,0.000268418,1.278836172,105
hand,cold,126,0.000626828,124,0.000924552,-1.474968747,250
hand,cup,90,0.000447734,44,0.000328067,1.364765876,134
hand,delicate,29,0.00014427,38,0.00028333,-1.963890534,67
hand,down,173,0.000860645,102,0.000760519,1.131655539,275
hand,empty,81,0.000402961,30,0.000223682,1.801490956,111
hand,enough,46,0.000228842,20,0.000149121,1.534603407,66
hand,far,50,0.000248741,20,0.000149121,1.668047181,70
hand,finally,81,0.000402961,42,0.000313155,1.286779254,123
hand,firmly,70,0.000348238,53,0.000395171,-1.134774342,123
hand,first,51,0.000253716,19,0.000141665,1.790955921,70
hand,flat,54,0.000268641,25,0.000186402,1.441192765,79
hand,forth,47,0.000233817,19,0.000141665,1.65048879,66
hand,forward,73,0.000363162,28,0.00020877,1.739534918,101
hand,free,482,0.002397867,273,0.002035506,1.178020134,755
hand,full,62,0.000308439,45,0.000335523,-1.087808636,107
hand,gently,166,0.000825821,144,0.001073673,-1.300127912,310
hand,glove,181,0.000900444,189,0.001409196,-1.565002038,370
hand,good,202,0.001004915,80,0.000596485,1.684727653,282
hand,hard,137,0.000681551,74,0.000551749,1.235256561,211
hand,heavy,53,0.000263666,13,9.69E-05,2.720200019,66
hand,high,48,0.000238792,21,0.000156577,1.525071709,69
hand,hot,31,0.00015422,36,0.000268418,-1.740493818,67
hand,huge,95,0.000472609,4,2.98E-05,15.84644822,99
hand,large,222,0.001104412,71,0.000529381,2.086233658,293
hand,late,46,0.000228842,21,0.000156577,1.461527054,67
hand,lightly,105,0.000522357,102,0.000760519,-1.455936892,207
hand,little,104,0.000517382,200,0.001491213,-2.88222801,304
hand,long,145,0.00072135,96,0.000715782,1.007778505,241
hand,nervously,46,0.000228842,24,0.000178946,1.278836172,70
hand,old,40,0.000198993,27,0.000201314,-1.011662031,67
hand,only,85,0.00042286,55,0.000410084,1.031156439,140
