BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
shoulder,bare,16,0.000384191,78,0.003270166,-8.511833389,94
hand,very,64,0.001536762,29,0.001215831,1.263960442,93
head,right,76,0.001824905,17,0.000712728,2.560449277,93
face,young,68,0.00163281,24,0.001006205,1.622740879,92
hair,loose,8,0.000192095,83,0.003479792,-18.11492747,91
hand,up,65,0.001560774,26,0.001090055,1.431830188,91
face,broad,66,0.001584786,24,0.001006205,1.575013207,90
hand,thin,50,0.001200595,40,0.001677008,-1.396813684,90
hair,curly,66,0.001584786,23,0.00096428,1.643492042,89
head,round,76,0.001824905,13,0.000545028,3.348279824,89
head,up,65,0.001560774,24,0.001006205,1.55114937,89
skin,pale,42,0.0010085,47,0.001970485,-1.953876285,89
head,quickly,55,0.001320655,33,0.001383532,-1.047610263,88
face,pretty,12,0.000288143,74,0.003102465,-10.76710548,86
eye,soft,33,0.000792393,52,0.002180111,-2.751299681,85
lip,own,46,0.001104548,39,0.001635083,-1.48031885,85
body,long,44,0.001056524,40,0.001677008,-1.587288278,84
face,black,69,0.001656822,15,0.000628878,2.634567546,84
face,wet,41,0.000984488,43,0.001802784,-1.831188672,84
hand,cup,56,0.001344667,28,0.001173906,1.14546415,84
eye,slightly,54,0.001296643,29,0.001215831,1.066466623,83
face,quite,55,0.001320655,28,0.001173906,1.125009433,83
head,full,65,0.001560774,18,0.000754654,2.06819916,83
eye,grey,40,0.000960476,42,0.001760859,-1.833317961,82
face,small,38,0.000912453,43,0.001802784,-1.975756198,81
hand,quickly,48,0.001152572,33,0.001383532,-1.20038676,81
skin,dark,45,0.001080536,36,0.001509307,-1.396813684,81
skin,smooth,28,0.000672333,53,0.002222036,-3.30496095,81
face,hot,51,0.001224607,29,0.001215831,1.007218477,80
heart,hard,54,0.001296643,26,0.001090055,1.189520464,80
face,calm,36,0.000864429,43,0.001802784,-2.085520432,79
head,finally,56,0.001344667,22,0.000922355,1.457863464,78
body,thin,48,0.001152572,29,0.001215831,-1.054885335,77
eye,tight,50,0.001200595,27,0.001131981,1.060614954,77
face,bright,40,0.000960476,37,0.001551233,-1.615065823,77
hair,own,36,0.000864429,41,0.001718933,-1.988519481,77
eye,wild,50,0.001200595,26,0.001090055,1.101407837,76
foot,back,60,0.001440715,16,0.000670803,2.147745282,76
head,gently,50,0.001200595,26,0.001090055,1.101407837,76
arm,strong,54,0.001296643,21,0.000880429,1.472739622,75
eye,yellow,60,0.001440715,15,0.000628878,2.2909283,75
