BodyPart,adj,totalM,pctM,totalF,pctF,diff,total
finger,own,24,0.001111832,29,0.001354571,-1.218323291,53
head,gently,28,0.001297137,25,0.001167733,1.11081627,53
skin,warm,36,0.001667748,16,0.000747349,2.231550542,52
arm,good,36,0.001667748,15,0.00070064,2.380320578,51
eye,tire,23,0.001065505,28,0.001307861,-1.227456149,51
hair,golden,13,0.000602242,38,0.001774954,-2.947243611,51
hand,open,31,0.001436116,20,0.000934187,1.537290373,51
hand,slightly,27,0.001250811,24,0.001121024,1.115775271,51
hand,tiny,12,0.000555916,39,0.001821664,-3.276869541,51
mouth,tight,21,0.000972853,30,0.00140128,-1.440382216,51
hair,soft,20,0.000926526,30,0.00140128,-1.512401327,50
hair,very,21,0.000972853,29,0.001354571,-1.392369475,50
hand,tight,26,0.001204484,24,0.001121024,1.074450261,50
arm,own,28,0.001297137,21,0.000980896,1.322400321,49
eye,swell,19,0.0008802,30,0.00140128,-1.592001396,49
hand,steady,30,0.00138979,19,0.000887477,1.56600038,49
head,sideways,30,0.00138979,19,0.000887477,1.56600038,49
skin,bare,16,0.000741221,33,0.001541408,-2.079551824,49
eye,quite,23,0.001065505,25,0.001167733,-1.09594299,48
finger,still,22,0.001019179,26,0.001214443,-1.191588924,48
hand,cup,32,0.001482442,16,0.000747349,1.983600482,48
hand,finally,27,0.001250811,21,0.000980896,1.275171738,48
hand,full,29,0.001343463,19,0.000887477,1.513800368,48
head,right,28,0.001297137,20,0.000934187,1.388520337,48
leg,back,29,0.001343463,19,0.000887477,1.513800368,48
arm,gently,20,0.000926526,27,0.001261152,-1.361161194,47
body,thin,21,0.000972853,26,0.001214443,-1.248331254,47
eye,sad,24,0.001111832,23,0.001074315,1.034921991,47
face,broad,30,0.00138979,17,0.000794059,1.750235719,47
face,old,20,0.000926526,27,0.001261152,-1.361161194,47
hand,clasp,24,0.001111832,23,0.001074315,1.034921991,47
hand,empty,27,0.001250811,20,0.000934187,1.338930325,47
head,bend,23,0.001065505,24,0.001121024,-1.052105271,47
head,up,25,0.001158158,22,0.001027605,1.127045728,47
leg,pant,37,0.001714074,10,0.000467093,3.669660891,47
skin,brown,25,0.001158158,22,0.001027605,1.127045728,47
arm,suddenly,21,0.000972853,25,0.001167733,-1.200318513,46
hand,red,20,0.000926526,26,0.001214443,-1.310747816,46
head,finally,25,0.001158158,21,0.000980896,1.180714572,46
head,sharply,30,0.00138979,16,0.000747349,1.859625452,46
body,small,12,0.000555916,33,0.001541408,-2.772735765,45
body,warm,27,0.001250811,18,0.000840768,1.487700361,45
hand,soft,21,0.000972853,24,0.001121024,-1.152305773,45
lip,full,18,0.000833874,27,0.001261152,-1.512401327,45
eye,huge,13,0.000602242,31,0.001447989,-2.404330314,44
hair,crop,21,0.000972853,23,0.001074315,-1.104293032,44
hair,pale,12,0.000555916,32,0.001494698,-2.688713469,44
hand,only,23,0.001065505,21,0.000980896,1.086257407,44
head,close,23,0.001065505,21,0.000980896,1.086257407,44
shoulder,thin,14,0.000648569,30,0.00140128,-2.160573324,44
eye,glassy,19,0.0008802,24,0.001121024,-1.273601117,43
finger,gently,28,0.001297137,15,0.00070064,1.85136045,43
finger,slowly,25,0.001158158,18,0.000840768,1.377500335,43
